index,name,name_pub,manmask,record,blue_before,blue_after,quanta,ew_before,ew_after,dew_pct,band
69,Mrk 1298_COS,Mrk 1298,0,REJECT_ALL_iter03_allmasks,197.48560807496355,-632.0507525105193,-12,8.077825444980009,39.64279127389824,390.7606823632762,large
70,Mrk 1502_COMBINED,UGC 00545,2,BEST_iter01_baseline,1231.1678756744095,1231.1678756744095,0,26.430498157223195,26.91850546135659,1.8463795166873525,small
71,TON-S180_STIS,TON S180,3,BEST_iter01_baseline,749.2255466349936,749.2255466349936,0,33.5807577193313,33.67942934549778,0.29383382885871057,small
72,Mrk 1513_COS,Mrk 1513,3,BEST_iter01_gtr_prior,266.5087642305957,197.48560807496355,-1,187.1738693058159,113.91803951920564,-39.13785084333567,large
73,LEDA 3095485_STIS,LEDA 3095485,3,BEST_iter04_gtr_prior,266.5087642305957,266.5087642305957,0,49.57331915695746,49.56161022256701,-0.02361942792931763,unchanged
74,MR 2251-178_COS,MR 2251-178,3,BEST_iter02_gtr_junkmasked,611.3922089991388,542.4464981800312,-1,518.4625939996093,276.67461457676984,-46.63556874134331,large
75,Mrk 1148_COS,Mrk 1148,3,BEST_iter03_allmasks,197.48560807496355,-286.1411570333448,-7,206.30618718113283,103.35345609157557,-49.90288100238446,large
76,Ton 951_COMBINED,Ton  951,0,REJECT_ALL_iter01_baseline,680.3185584841262,-493.6365748509283,-17,27.93068137062368,9.985635002842432,-64.2485091203507,large
77,Mrk 771_COMBINED,Z  99-79,0,REJECT_ALL_iter03_allmasks,542.4464981800312,-770.5230141725146,-19,230.87808533841985,136.8015388676963,-40.74728284965923,large
78,2MASS J16151905-0936132_COS,2MASS J16151905-0936132,0,REJECT_ALL_iter03_allmasks,-78.78126855460229,59.38121176138286,2,498.0871744074323,30.227381252683333,-93.93130704707576,large
79,LEDA 88835_STIS,2MASX J13251937-382452,3,BEST_iter02_gtr_prior_zNED,2740.8098200686536,2672.3675039368018,-1,17.420058807736115,18.037421683076627,3.5439769874160527,small
80,LEDA 3095694_COS,LEDA 3095694,0,REJECT_ALL_iter03_allmasks,-9.68066706248958,749.2255466349936,11,105.2637442653676,131.19321060638376,24.632855806124976,large
81,Mrk 205_FOS,MRK 0205,3,BEST_iter04_gtr_prior,197.48560807496355,197.48560807496355,0,106.60523762085197,106.6111181885496,0.005516208986415063,unchanged
82,Mrk 478_COMBINED,MRK 0478,3,BEST_iter04_gtr_stismasks,680.3185584841262,680.3185584841262,0,44.752536312043866,44.41316740715741,-0.7583232881375808,small
83,1RXS J185800.9+485020_COS,1RXS J185800.9+485020,3,BEST_iter08_gtr_hand2,128.44309058521125,266.5087642305957,2,247.1332850361676,108.61881224723882,-56.048489287332295,large
84,LEDA 3096578_COS,LEDA 3096578,0,REJECT_ALL_iter03_allmasks,1437.4822521104009,-9.68066706248958,-21,192.48801048181733,113.93014627464729,-40.81182199895547,large
85,LEDA 2100384_COS,1RXS J004343.6+372521,0,REJECT_ALL_iter03_allmasks,-1047.6805121718269,9574.141002142673,154,361.0882486735394,0.0,-100.0,large
86,PB 3894_COMBINED,PG 1211+143,3,BEST_iter07_gtr_hand,128.44309058521125,128.44309058521125,0,97.48457065133408,104.60266647278708,7.301766601518683,small
87,2MASS J12323582+0603098_COS,2MASS J12323582+0603098,0,REJECT_ALL_iter03_allmasks,-770.5230141725146,197.48560807496355,14,1.5156787933742912,74.44010444454152,4811.337729996121,large
88,Mrk 1383_STIS,Mrk 1383,3,BEST_iter04_gtr_prior,611.3922089991388,3970.312621008336,49,77.35955721243919,63.27492020098087,-18.206718754581424,large
89,PG1351+640_COMBINED,PG 1351+640,2,BEST_iter04_trough1531_1546,-286.1411570333448,-562.8339830136417,-4,43.66737413774544,38.235192710462826,-12.439908592046793,large
90,LEDA 50824_FOS,LEDA   50824,3,BEST_iter01_gtr_prior,-424.45852802229103,-424.45852802229103,0,83.65994515563871,83.63813548897758,-0.02606942500446691,unchanged
91,Mrk 1501_COMBINED,Mrk 1501,0,REJECT_ALL_iter03_allmasks,59.38121176138286,128.44309058521125,1,152.33705220843478,157.64892794859102,3.4869230191537897,small
92,2MASS J08105865+7602424_COMBINED,2MASS J08105865+7602424,3,BEST_iter04_gtr_masks,335.5125590520637,266.5087642305957,-1,34.77872423766066,36.66502488810162,5.423720081136126,small
93,2MASS J22484115-5109532_COS,2MASS J22484115-5109532,2,BEST_iter05_gtr_hand,-9.68066706248958,128.44309058521125,2,135.54410745178194,195.16935935321217,43.98955662653291,large
